Bridge Number,Bridge Name,Bridge Type,Bridge Span(Mtrs),Trail Type,District,Major RM/UM,Ward No,River Name,RM/UM Left,RM/UM Right,Latitude,Longitude,Coordinate Source,National Agency,Foreign Agency,Bridge Status,Action Taken,Mela Condition,Observerd by,Observers Name,Completion FY,Bridge Warden Name and address,Bridge Warden Contact No,Comment or Recommendation,Entered By,Entered Date,Updated By,Updated Date
01 5 002 18 06 01,Jogi Rumba,D,50,Local,Taplejung,Hangdewa,,Sobuwa khola,Hangdewa,Hangdewa,27.377914755593892,87.69776606633991,GPS,VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2005/06,bridge not visible,,,,,Om Khadka,17/08/2015
01 5 002 18 06 02,Dhupaure,ST,32,Local,Taplejung,Hangdewa,,Dhupaure  Khola,Hangdewa,Hangdewa,27.364249660403694,87.70894551845481,GoogleEarth,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1999/2000,bridge not visible,,,girman,,Satya N. Lohala,
01 5 003 18 06 04,Mauwa Khola,D,60.5,Main,Taplejung,Phuurumbu,,Mauwa Khola,Phuurumbu,Phuurumbu,27.413409538381416,87.72068556898648,GPS,Other,KAABGN,No action required,Yet No Action    ,Yes,NGO personnel,NGO personnel,2004/05,bridge visible,,,girman,,Satya N. Lohala,
01 5 003 18 06 05,Gopani,D,50,Local,Taplejung,Phuurumbu,,Gopani Khola,Phurumbu,Phurumbu,27.398312983113108,87.73139482841793,GoogleEarth,VDC,DRILP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2007/08,bridge not visible,,,girman,,Satya N. Lohala,
01 5 004 18 06 01,Thouwa,D,37,Local,Taplejung,Limkhim,,Sisne  Khola,Phuurumbu,Limkhim,27.428106623244716,87.71357497184977,GPS,VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1998/99,bridge not visible,,,girman,,Satya N. Lohala,
01 5 004 18 06 02,Sisne,D,56,Local,Taplejung,Limkhim,,Sisne  Khola,Phuurumbu,Limkhim,27.42852332995205,87.7238256345779,GPS,VDC,SDC,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2004/05,bridge visible,,,girman,,Satya N. Lohala,
01 5 004 18 06 03,Tallo Sisne,D,84,Local,Taplejung,Limkhim,,Sisne Khola,Phuurumbu,Limkhim,27.427294801345877,87.70195027797922,GPS,VDC,DRILP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2006/07,bridge visible,,,girman,,Satya N. Lohala,
01 5 004 18 06 04,Tawa Linkhim,D,103,Local,Taplejung,Limkhim,,Tawa Khola,Limkhim,Linkhim,27.451836343066056,87.72927248405881,GPS,VDC,DRILP+SDC/DFID,No action required,Yet No Action    ,,NGO personnel,NGO personnel,2007/08,bridge not visible,,,girman,,Satya N. Lohala,
01 5 004 18 06 02,Hangbhurung,D,119,Main,Taplejung,Limkhim,,Tamor Nadi,Limkhim,Khojenim,27.45116036739847,87.7070101492352,GPS,VDC,DRILP+SDC/DFID,Emergency Rehabilitation,Yet No Action    ,,NGO personnel,NGO personnel,2010/11,bridge not visible,,,girman,,Satya N. Lohala,
01 5 005 18 06 01,Kali,D,29,Local,Taplejung,Dokhu,,Kali  Khola,Dokhu,Dokhu,27.3380532206342,87.7031277820007,GPS,Other,KAABGN,No action required,Yet No Action    ,,NGO personnel,NGO personnel,1986/87,bridge visible,,,girman,,Satya N. Lohala,
